trial c/dMass c/dEcc 
bmass03_becc09 -1.218367 0.128571
bmass03_becc10 -1.218367 0.142857
bmass03_becc11 -1.218367 0.157143
bmass03_becc12 -1.218367 0.171429
bmass03_becc13 -1.218367 0.185714
bmass03_becc14 -1.218367 0.200000
bmass03_becc15 -1.218367 0.214286
bmass03_becc16 -1.218367 0.228571
bmass03_becc17 -1.218367 0.242857
bmass03_becc18 -1.218367 0.257143
bmass03_becc19 -1.218367 0.271429
bmass03_becc20 -1.218367 0.285714
bmass03_becc21 -1.218367 0.300000
bmass03_becc22 -1.218367 0.314286
bmass03_becc23 -1.218367 0.328571
bmass03_becc24 -1.218367 0.342857
bmass03_becc25 -1.218367 0.357143
bmass03_becc26 -1.218367 0.371429
bmass03_becc27 -1.218367 0.385714
bmass03_becc28 -1.218367 0.400000
bmass03_becc29 -1.218367 0.414286
bmass03_becc30 -1.218367 0.428571
bmass03_becc31 -1.218367 0.442857
bmass03_becc32 -1.218367 0.457143
bmass03_becc33 -1.218367 0.471429
bmass03_becc34 -1.218367 0.485714
bmass03_becc35 -1.218367 0.500000
bmass03_becc36 -1.218367 0.514286
bmass03_becc37 -1.218367 0.528571
bmass03_becc38 -1.218367 0.542857
bmass03_becc39 -1.218367 0.557143
bmass03_becc40 -1.218367 0.571429
bmass03_becc41 -1.218367 0.585714
bmass03_becc42 -1.218367 0.600000
bmass03_becc43 -1.218367 0.614286
bmass03_becc44 -1.218367 0.628571
bmass03_becc45 -1.218367 0.642857
bmass03_becc46 -1.218367 0.657143
bmass03_becc47 -1.218367 0.671429
bmass03_becc48 -1.218367 0.685714
bmass03_becc49 -1.218367 0.700000
bmass04_becc00 -1.324490 0.000000
bmass04_becc01 -1.324490 0.014286
bmass04_becc02 -1.324490 0.028571
bmass04_becc03 -1.324490 0.042857
bmass04_becc04 -1.324490 0.057143
bmass04_becc05 -1.324490 0.071429
bmass04_becc06 -1.324490 0.085714
bmass04_becc07 -1.324490 0.100000
bmass04_becc08 -1.324490 0.114286
bmass04_becc09 -1.324490 0.128571
bmass04_becc10 -1.324490 0.142857
bmass04_becc11 -1.324490 0.157143
bmass04_becc12 -1.324490 0.171429
bmass04_becc13 -1.324490 0.185714
bmass04_becc14 -1.324490 0.200000
bmass04_becc15 -1.324490 0.214286
bmass04_becc16 -1.324490 0.228571
bmass04_becc17 -1.324490 0.242857
bmass04_becc18 -1.324490 0.257143
bmass04_becc19 -1.324490 0.271429
bmass04_becc20 -1.324490 0.285714
bmass04_becc21 -1.324490 0.300000
bmass04_becc22 -1.324490 0.314286
bmass04_becc23 -1.324490 0.328571
bmass04_becc24 -1.324490 0.342857
bmass04_becc25 -1.324490 0.357143
bmass04_becc26 -1.324490 0.371429
bmass04_becc27 -1.324490 0.385714
bmass04_becc28 -1.324490 0.400000
bmass04_becc29 -1.324490 0.414286
bmass04_becc30 -1.324490 0.428571
bmass04_becc31 -1.324490 0.442857
bmass04_becc32 -1.324490 0.457143
bmass04_becc33 -1.324490 0.471429
bmass04_becc34 -1.324490 0.485714
bmass04_becc35 -1.324490 0.500000
bmass04_becc36 -1.324490 0.514286
bmass04_becc37 -1.324490 0.528571
bmass04_becc38 -1.324490 0.542857
bmass04_becc39 -1.324490 0.557143
bmass04_becc40 -1.324490 0.571429
bmass04_becc41 -1.324490 0.585714
bmass04_becc42 -1.324490 0.600000
bmass04_becc43 -1.324490 0.614286
bmass04_becc44 -1.324490 0.628571
bmass04_becc45 -1.324490 0.642857
bmass04_becc46 -1.324490 0.657143
bmass04_becc47 -1.324490 0.671429
bmass04_becc48 -1.324490 0.685714
bmass04_becc49 -1.324490 0.700000
bmass05_becc00 -1.430612 0.000000
bmass05_becc01 -1.430612 0.014286
bmass05_becc02 -1.430612 0.028571
bmass05_becc03 -1.430612 0.042857
bmass05_becc04 -1.430612 0.057143
bmass05_becc05 -1.430612 0.071429
bmass05_becc06 -1.430612 0.085714
bmass05_becc07 -1.430612 0.100000
bmass05_becc08 -1.430612 0.114286
bmass05_becc09 -1.430612 0.128571
bmass05_becc10 -1.430612 0.142857
bmass05_becc11 -1.430612 0.157143
bmass05_becc12 -1.430612 0.171429
