trial b/dMass b/dEcc 
bmass23_becc05 -3.503448 0.051724
bmass23_becc06 -3.503448 0.062069
bmass23_becc07 -3.503448 0.072414
bmass23_becc08 -3.503448 0.082759
bmass23_becc09 -3.503448 0.093103
bmass23_becc10 -3.503448 0.103448
bmass23_becc11 -3.503448 0.113793
bmass23_becc12 -3.503448 0.124138
bmass23_becc13 -3.503448 0.134483
bmass23_becc14 -3.503448 0.144828
bmass23_becc15 -3.503448 0.155172
bmass23_becc16 -3.503448 0.165517
bmass23_becc17 -3.503448 0.175862
bmass23_becc18 -3.503448 0.186207
bmass23_becc19 -3.503448 0.196552
bmass23_becc20 -3.503448 0.206897
bmass23_becc21 -3.503448 0.217241
bmass23_becc22 -3.503448 0.227586
bmass23_becc23 -3.503448 0.237931
bmass23_becc24 -3.503448 0.248276
bmass23_becc25 -3.503448 0.258621
bmass23_becc26 -3.503448 0.268966
bmass23_becc27 -3.503448 0.279310
bmass23_becc28 -3.503448 0.289655
bmass23_becc29 -3.503448 0.300000
bmass24_becc00 -3.586207 0.000000
bmass24_becc01 -3.586207 0.010345
bmass24_becc02 -3.586207 0.020690
bmass24_becc03 -3.586207 0.031034
bmass24_becc04 -3.586207 0.041379
bmass24_becc05 -3.586207 0.051724
bmass24_becc06 -3.586207 0.062069
bmass24_becc07 -3.586207 0.072414
bmass24_becc08 -3.586207 0.082759
bmass24_becc09 -3.586207 0.093103
bmass24_becc10 -3.586207 0.103448
bmass24_becc11 -3.586207 0.113793
bmass24_becc12 -3.586207 0.124138
bmass24_becc13 -3.586207 0.134483
bmass24_becc14 -3.586207 0.144828
bmass24_becc15 -3.586207 0.155172
bmass24_becc16 -3.586207 0.165517
bmass24_becc17 -3.586207 0.175862
bmass24_becc18 -3.586207 0.186207
bmass24_becc19 -3.586207 0.196552
bmass24_becc20 -3.586207 0.206897
bmass24_becc21 -3.586207 0.217241
bmass24_becc22 -3.586207 0.227586
bmass24_becc23 -3.586207 0.237931
bmass24_becc24 -3.586207 0.248276
bmass24_becc25 -3.586207 0.258621
bmass24_becc26 -3.586207 0.268966
bmass24_becc27 -3.586207 0.279310
bmass24_becc28 -3.586207 0.289655
bmass24_becc29 -3.586207 0.300000
bmass25_becc00 -3.668966 0.000000
bmass25_becc01 -3.668966 0.010345
bmass25_becc02 -3.668966 0.020690
bmass25_becc03 -3.668966 0.031034
bmass25_becc04 -3.668966 0.041379
bmass25_becc05 -3.668966 0.051724
bmass25_becc06 -3.668966 0.062069
bmass25_becc07 -3.668966 0.072414
bmass25_becc08 -3.668966 0.082759
bmass25_becc09 -3.668966 0.093103
bmass25_becc10 -3.668966 0.103448
bmass25_becc11 -3.668966 0.113793
bmass25_becc12 -3.668966 0.124138
bmass25_becc13 -3.668966 0.134483
bmass25_becc14 -3.668966 0.144828
bmass25_becc15 -3.668966 0.155172
bmass25_becc16 -3.668966 0.165517
bmass25_becc17 -3.668966 0.175862
bmass25_becc18 -3.668966 0.186207
bmass25_becc19 -3.668966 0.196552
bmass25_becc20 -3.668966 0.206897
bmass25_becc21 -3.668966 0.217241
bmass25_becc22 -3.668966 0.227586
bmass25_becc23 -3.668966 0.237931
bmass25_becc24 -3.668966 0.248276
bmass25_becc25 -3.668966 0.258621
bmass25_becc26 -3.668966 0.268966
bmass25_becc27 -3.668966 0.279310
bmass25_becc28 -3.668966 0.289655
bmass25_becc29 -3.668966 0.300000
bmass26_becc00 -3.751724 0.000000
bmass26_becc01 -3.751724 0.010345
bmass26_becc02 -3.751724 0.020690
bmass26_becc03 -3.751724 0.031034
bmass26_becc04 -3.751724 0.041379
bmass26_becc05 -3.751724 0.051724
bmass26_becc06 -3.751724 0.062069
bmass26_becc07 -3.751724 0.072414
bmass26_becc08 -3.751724 0.082759
bmass26_becc09 -3.751724 0.093103
bmass26_becc10 -3.751724 0.103448
bmass26_becc11 -3.751724 0.113793
bmass26_becc12 -3.751724 0.124138
bmass26_becc13 -3.751724 0.134483
bmass26_becc14 -3.751724 0.144828
bmass26_becc15 -3.751724 0.155172
bmass26_becc16 -3.751724 0.165517
bmass26_becc17 -3.751724 0.175862
bmass26_becc18 -3.751724 0.186207
bmass26_becc19 -3.751724 0.196552
bmass26_becc20 -3.751724 0.206897
bmass26_becc21 -3.751724 0.217241
bmass26_becc22 -3.751724 0.227586
bmass26_becc23 -3.751724 0.237931
bmass26_becc24 -3.751724 0.248276
bmass26_becc25 -3.751724 0.258621
bmass26_becc26 -3.751724 0.268966
bmass26_becc27 -3.751724 0.279310
bmass26_becc28 -3.751724 0.289655
bmass26_becc29 -3.751724 0.300000
bmass27_becc00 -3.834483 0.000000
bmass27_becc01 -3.834483 0.010345
bmass27_becc02 -3.834483 0.020690
bmass27_becc03 -3.834483 0.031034
bmass27_becc04 -3.834483 0.041379
bmass27_becc05 -3.834483 0.051724
bmass27_becc06 -3.834483 0.062069
bmass27_becc07 -3.834483 0.072414
bmass27_becc08 -3.834483 0.082759
bmass27_becc09 -3.834483 0.093103
bmass27_becc10 -3.834483 0.103448
bmass27_becc11 -3.834483 0.113793
bmass27_becc12 -3.834483 0.124138
bmass27_becc13 -3.834483 0.134483
bmass27_becc14 -3.834483 0.144828
bmass27_becc15 -3.834483 0.155172
bmass27_becc16 -3.834483 0.165517
bmass27_becc17 -3.834483 0.175862
bmass27_becc18 -3.834483 0.186207
bmass27_becc19 -3.834483 0.196552
bmass27_becc20 -3.834483 0.206897
bmass27_becc21 -3.834483 0.217241
bmass27_becc22 -3.834483 0.227586
bmass27_becc23 -3.834483 0.237931
bmass27_becc24 -3.834483 0.248276
bmass27_becc25 -3.834483 0.258621
bmass27_becc26 -3.834483 0.268966
bmass27_becc27 -3.834483 0.279310
bmass27_becc28 -3.834483 0.289655
bmass27_becc29 -3.834483 0.300000
bmass28_becc00 -3.917241 0.000000
bmass28_becc01 -3.917241 0.010345
bmass28_becc02 -3.917241 0.020690
bmass28_becc03 -3.917241 0.031034
bmass28_becc04 -3.917241 0.041379
bmass28_becc05 -3.917241 0.051724
bmass28_becc06 -3.917241 0.062069
bmass28_becc07 -3.917241 0.072414
bmass28_becc08 -3.917241 0.082759
bmass28_becc09 -3.917241 0.093103
bmass28_becc10 -3.917241 0.103448
bmass28_becc11 -3.917241 0.113793
bmass28_becc12 -3.917241 0.124138
bmass28_becc13 -3.917241 0.134483
bmass28_becc14 -3.917241 0.144828
bmass28_becc15 -3.917241 0.155172
bmass28_becc16 -3.917241 0.165517
bmass28_becc17 -3.917241 0.175862
bmass28_becc18 -3.917241 0.186207
bmass28_becc19 -3.917241 0.196552
bmass28_becc20 -3.917241 0.206897
bmass28_becc21 -3.917241 0.217241
bmass28_becc22 -3.917241 0.227586
bmass28_becc23 -3.917241 0.237931
bmass28_becc24 -3.917241 0.248276
bmass28_becc25 -3.917241 0.258621
bmass28_becc26 -3.917241 0.268966
bmass28_becc27 -3.917241 0.279310
bmass28_becc28 -3.917241 0.289655
bmass28_becc29 -3.917241 0.300000
bmass29_becc00 -4.000000 0.000000
bmass29_becc01 -4.000000 0.010345
bmass29_becc02 -4.000000 0.020690
bmass29_becc03 -4.000000 0.031034
bmass29_becc04 -4.000000 0.041379
bmass29_becc05 -4.000000 0.051724
bmass29_becc06 -4.000000 0.062069
bmass29_becc07 -4.000000 0.072414
bmass29_becc08 -4.000000 0.082759
bmass29_becc09 -4.000000 0.093103
bmass29_becc10 -4.000000 0.103448
bmass29_becc11 -4.000000 0.113793
bmass29_becc12 -4.000000 0.124138
bmass29_becc13 -4.000000 0.134483
bmass29_becc14 -4.000000 0.144828
bmass29_becc15 -4.000000 0.155172
bmass29_becc16 -4.000000 0.165517
bmass29_becc17 -4.000000 0.175862
bmass29_becc18 -4.000000 0.186207
bmass29_becc19 -4.000000 0.196552
bmass29_becc20 -4.000000 0.206897
bmass29_becc21 -4.000000 0.217241
bmass29_becc22 -4.000000 0.227586
bmass29_becc23 -4.000000 0.237931
bmass29_becc24 -4.000000 0.248276
bmass29_becc25 -4.000000 0.258621
bmass29_becc26 -4.000000 0.268966
bmass29_becc27 -4.000000 0.279310
bmass29_becc28 -4.000000 0.289655
bmass29_becc29 -4.000000 0.300000
