trial b/dMass b/dEcc 
bmass05_becc09 -2.013793 0.093103
bmass05_becc10 -2.013793 0.103448
bmass05_becc11 -2.013793 0.113793
bmass05_becc12 -2.013793 0.124138
bmass05_becc13 -2.013793 0.134483
bmass05_becc14 -2.013793 0.144828
bmass05_becc15 -2.013793 0.155172
bmass05_becc16 -2.013793 0.165517
bmass05_becc17 -2.013793 0.175862
bmass05_becc18 -2.013793 0.186207
bmass05_becc19 -2.013793 0.196552
bmass05_becc20 -2.013793 0.206897
bmass05_becc21 -2.013793 0.217241
bmass05_becc22 -2.013793 0.227586
bmass05_becc23 -2.013793 0.237931
bmass05_becc24 -2.013793 0.248276
bmass05_becc25 -2.013793 0.258621
bmass05_becc26 -2.013793 0.268966
bmass05_becc27 -2.013793 0.279310
bmass05_becc28 -2.013793 0.289655
bmass05_becc29 -2.013793 0.300000
bmass06_becc00 -2.096552 0.000000
bmass06_becc01 -2.096552 0.010345
bmass06_becc02 -2.096552 0.020690
bmass06_becc03 -2.096552 0.031034
bmass06_becc04 -2.096552 0.041379
bmass06_becc05 -2.096552 0.051724
bmass06_becc06 -2.096552 0.062069
bmass06_becc07 -2.096552 0.072414
bmass06_becc08 -2.096552 0.082759
bmass06_becc09 -2.096552 0.093103
bmass06_becc10 -2.096552 0.103448
bmass06_becc11 -2.096552 0.113793
bmass06_becc12 -2.096552 0.124138
bmass06_becc13 -2.096552 0.134483
bmass06_becc14 -2.096552 0.144828
bmass06_becc15 -2.096552 0.155172
bmass06_becc16 -2.096552 0.165517
bmass06_becc17 -2.096552 0.175862
bmass06_becc18 -2.096552 0.186207
bmass06_becc19 -2.096552 0.196552
bmass06_becc20 -2.096552 0.206897
bmass06_becc21 -2.096552 0.217241
bmass06_becc22 -2.096552 0.227586
bmass06_becc23 -2.096552 0.237931
bmass06_becc24 -2.096552 0.248276
bmass06_becc25 -2.096552 0.258621
bmass06_becc26 -2.096552 0.268966
bmass06_becc27 -2.096552 0.279310
bmass06_becc28 -2.096552 0.289655
bmass06_becc29 -2.096552 0.300000
bmass07_becc00 -2.179310 0.000000
bmass07_becc01 -2.179310 0.010345
bmass07_becc02 -2.179310 0.020690
bmass07_becc03 -2.179310 0.031034
bmass07_becc04 -2.179310 0.041379
bmass07_becc05 -2.179310 0.051724
bmass07_becc06 -2.179310 0.062069
bmass07_becc07 -2.179310 0.072414
bmass07_becc08 -2.179310 0.082759
bmass07_becc09 -2.179310 0.093103
bmass07_becc10 -2.179310 0.103448
bmass07_becc11 -2.179310 0.113793
bmass07_becc12 -2.179310 0.124138
bmass07_becc13 -2.179310 0.134483
bmass07_becc14 -2.179310 0.144828
bmass07_becc15 -2.179310 0.155172
bmass07_becc16 -2.179310 0.165517
bmass07_becc17 -2.179310 0.175862
bmass07_becc18 -2.179310 0.186207
bmass07_becc19 -2.179310 0.196552
bmass07_becc20 -2.179310 0.206897
bmass07_becc21 -2.179310 0.217241
bmass07_becc22 -2.179310 0.227586
bmass07_becc23 -2.179310 0.237931
bmass07_becc24 -2.179310 0.248276
bmass07_becc25 -2.179310 0.258621
bmass07_becc26 -2.179310 0.268966
bmass07_becc27 -2.179310 0.279310
bmass07_becc28 -2.179310 0.289655
bmass07_becc29 -2.179310 0.300000
